age,ed,employ,address,income,debtinc,creddebt,othdebt,default
31,1,4,10,28,11.3,0.291088,2.872912,false
32,1,1,0,20,4.8,0.31488,0.64512,true
32,1,14,7,73,8.8,3.751616,2.672384,false
33,1,6,14,21,7.5,0.567,1.008,false
26,1,6,0,22,10.3,0.720588,1.545412,false
21,1,1,1,18,17.3,0.158814,2.955186,false
28,2,7,2,34,7,0.35938,2.02062,false
37,1,13,5,24,8.9,0.602352,1.533648,false
33,2,2,14,35,22.9,2.123975,5.891025,true
39,1,12,10,46,5,0.5612,1.7388,false
40,2,8,19,57,5.6,0.8778,2.3142,false
45,3,16,21,80,3,0.912,1.488,false
27,1,10,6,34,6.5,0.85085,1.35915,false
28,4,0,7,29,24.2,1.424654,5.593346,false
39,1,13,9,27,8,0.96552,1.19448,false
40,1,14,21,43,15,2.79285,3.65715,true
27,1,11,8,56,16.9,4.63736,4.82664,false
36,1,1,4,16,9.3,0.433008,1.054992,false
55,1,19,2,78,15.6,4.404816,7.763184,false
27,2,4,3,22,13.2,1.086096,1.817904,true
30,1,1,8,17,11,0.74613,1.12387,false
36,1,10,0,28,11.2,0.81536,2.32064,true
31,1,1,6,21,2.5,0.2772,0.2478,true
33,2,13,2,40,7.2,0.18144,2.69856,false
30,1,4,0,33,4.2,0.500346,0.885654,false
24,1,1,0,18,5.9,0.23895,0.82305,true
33,4,9,10,28,4.3,0.376852,0.827148,false
50,1,8,27,47,6.9,0.398889,2.844111,false
31,2,6,6,32,23.1,3.341184,4.050816,true
28,1,3,7,19,4.1,0.260965,0.518035,false
44,3,8,10,88,6.1,0.284504,5.083496,true
48,4,3,23,45,9.8,0.97461,3.43539,false
36,2,0,17,30,9.7,0.32883,2.58117,false
29,3,7,1,63,5.5,0.571725,2.893275,false
40,3,17,11,116,6,2.56128,4.39872,false
33,1,7,6,26,6,0.54288,1.01712,false
26,2,6,6,30,1,0.1437,0.1563,false
36,1,14,11,81,7.2,1.784592,4.047408,false
26,2,6,0,35,1.9,0.085785,0.579215,false
40,3,16,6,116,12.1,1.61414,12.42186,false
44,1,5,3,48,9,1.96992,2.35008,true
29,3,1,10,30,4.5,0.27945,1.07055,false
35,3,5,3,37,5.4,0.581418,1.416582,true
34,1,16,3,75,10.4,3.9546,3.8454,false
34,3,12,8,47,6.7,1.300537,1.848463,false
46,1,14,25,35,10.2,1.34946,2.22054,false
41,2,21,22,145,12.2,3.23727,14.45273,false
27,2,7,8,30,4,0.4476,0.7524,true
27,4,0,6,70,8,1.6184,3.9816,true
28,1,11,6,24,2.4,0.107136,0.468864,false
48,3,0,27,19,10.8,0.849528,1.202472,false
48,3,17,26,113,12,3.37644,10.18356,false
29,3,5,6,70,19.9,3.17604,10.75396,true
43,2,9,5,60,20.4,4.0392,8.2008,true
23,1,5,2,17,7.9,0.302175,1.040825,false
29,2,10,8,44,18.1,3.70326,4.26074,false
40,4,5,6,75,1.9,0.884925,0.540075,false
22,2,0,3,20,5.6,0.2072,0.9128,false
23,1,7,3,22,14.4,0.849024,2.318976,false
46,3,9,10,60,15.3,1.6065,7.5735,false
55,1,3,11,40,8,0.5632,2.6368,true
38,2,8,16,38,0.6,0.029412,0.198588,false
35,2,5,1,33,2.8,0.103488,0.820512,false
30,1,11,9,27,0.9,0.073872,0.169128,false
24,1,7,0,18,6.5,0.5265,0.6435,false
26,2,4,3,28,9.5,0.2261,2.4339,false
32,2,2,11,15,9.1,0.118755,1.246245,true
37,2,11,4,75,3.5,0.632625,1.992375,false
39,1,6,19,42,19.9,2.540832,5.817168,true
30,2,4,4,21,18.3,0.491904,3.351096,false
30,1,10,11,39,9.5,2.056275,1.648725,false
32,2,7,10,32,4.3,0.43344,0.94256,false
54,3,21,20,118,14.4,9.60048,7.39152,false
27,3,3,4,35,13.3,1.60132,3.05368,false
31,1,12,4,31,23.7,2.05716,5.28984,false
39,1,15,16,39,1.8,0.139698,0.562302,false
31,1,5,3,25,14.1,1.17735,2.34765,false
35,1,15,11,40,18.5,1.2136,6.1864,false
35,2,10,16,98,13.3,4.874716,8.159284,false
46,2,22,17,144,11.1,3.324672,12.659328,false
33,1,13,3,52,21.3,2.71362,8.36238,true
35,2,13,3,105,1.9,1.418445,0.576555,false
35,2,1,1,21,7.9,0.369957,1.289043,false
38,1,5,13,21,9,0.44982,1.44018,false
41,1,19,1,96,7.8,2.253888,5.234112,false
38,1,18,19,44,4.5,0.60588,1.37412,false
34,3,2,14,39,13.2,1.142856,4.005144,false
51,3,16,25,82,4.4,2.604976,1.003024,false
34,2,10,2,33,9.5,0.573705,2.561295,false
47,1,15,1,30,24.5,2.21235,5.13765,false
34,2,8,6,78,5.4,2.156544,2.055456,false
27,2,8,7,18,11.9,0.400554,1.741446,false
52,1,9,11,24,19.2,0.801792,3.806208,true
39,1,9,6,35,5,0.23275,1.51725,false
33,1,7,0,22,6.4,0.630784,0.777216,false
34,1,0,1,21,7.2,0.187488,1.324512,false
31,3,9,7,59,14.6,3.109654,5.504346,true
28,1,2,9,16,15.2,0.870656,1.561344,false
39,1,19,16,45,3.7,0.91575,0.74925,false
51,2,22,23,120,7.6,4.14048,4.97952,false
22,1,4,1,16,1.2,0.08448,0.10752,false
27,3,6,4,26,10.4,0.930176,1.773824,false
32,1,16,10,38,21,0.69426,7.28574,false
28,2,6,7,38,7.2,0.774288,1.961712,false
27,2,1,0,20,10.3,0.37698,1.68302,true
26,2,2,6,24,13.6,1.576512,1.687488,true
32,1,14,0,36,2.4,0.273024,0.590976,false
30,1,0,11,17,3.7,0.44659,0.18241,true
39,1,13,1,38,8.9,1.897302,1.484698,false
31,1,11,6,28,4.8,0.345408,0.998592,true
34,1,15,2,39,24.7,4.373382,5.259618,true
31,1,8,3,41,12.6,0.134316,5.031684,false
29,2,1,7,25,10.4,0.5694,2.0306,false
29,1,9,0,25,13.9,1.0703,2.4047,false
35,2,9,16,30,7.6,0.6498,1.6302,false
29,1,11,7,32,6,0.92736,0.99264,false
38,2,2,16,22,22.7,1.208548,3.785452,true
35,1,16,15,36,3.4,0.178704,1.045296,false
29,1,11,5,36,6.1,0.709308,1.486692,false
23,2,3,4,34,4.4,0.2618,1.2342,false
33,4,9,8,32,5.5,0.49632,1.26368,false
51,2,19,25,159,2.8,1.06848,3.38352,false
24,1,4,2,21,2.6,0.099372,0.446628,false
31,1,10,12,49,9.8,3.236548,1.565452,true
45,1,10,14,52,5.4,0.932256,1.875744,false
29,1,3,1,17,9,0.46971,1.06029,false
34,1,0,10,20,17.1,2.04858,1.37142,false
25,2,4,5,27,5,0.54945,0.80055,true
37,1,20,2,56,1.9,0.54264,0.52136,false
47,1,29,18,129,25.3,20.56131,12.07569,true
43,2,6,24,54,9.6,0.62208,4.56192,false
47,1,22,19,81,5.5,1.50579,2.94921,false
24,1,6,2,21,5.2,0.108108,0.983892,false
27,3,5,1,75,6.3,2.206575,2.518425,false
25,1,9,4,18,1.2,0.06588,0.15012,false
36,3,11,12,44,14.7,0.446292,6.021708,false
39,1,16,20,57,19.4,1.559178,9.498822,false
26,1,10,1,25,7.1,1.3064,0.4686,false
41,1,4,19,25,10.1,1.0605,1.4645,false
39,1,19,15,60,27.1,9.5934,6.6666,true
37,1,18,8,54,12.1,4.593402,1.940598,false
29,1,2,0,14,14.4,0.586656,1.429344,true
42,1,6,9,31,11.6,1.02486,2.57114,false
31,4,1,6,29,11.1,1.065489,2.153511,false
36,1,4,15,17,17.3,0.520557,2.420443,false
39,1,16,4,52,20,4.16,6.24,false
23,4,0,2,23,6.7,0.468464,1.072536,false
39,1,4,15,33,7,0.39732,1.91268,false
27,3,4,1,40,3.1,0.28396,0.95604,true
24,1,8,4,24,5,0.3816,0.8184,false
27,3,3,4,45,11,0.29205,4.65795,true
41,1,16,22,49,1.6,0.4312,0.3528,false
38,1,0,8,23,8.1,0.897966,0.965034,true
40,2,5,12,35,16.4,1.58424,4.15576,true
54,1,25,12,120,26.5,14.5962,17.2038,true
40,1,12,6,89,17.4,2.771994,12.714006,false
40,1,2,4,32,3.7,0.853664,0.330336,false
29,1,1,8,31,8,0.15624,2.32376,false
30,1,8,6,23,12,0.76176,1.99824,false
29,1,1,1,18,1.1,0.029898,0.168102,false
29,3,3,3,50,2.4,0.2592,0.9408,true
28,4,2,4,41,2.5,0.4592,0.5658,true
28,4,0,5,38,10.4,0.636272,3.315728,false
39,2,16,9,89,14.3,5.001711,7.725289,false
32,1,11,2,53,3.3,0.089199,1.659801,false
36,2,7,16,43,15.4,2.6488,3.9732,false
39,1,20,12,39,8.2,0.773916,2.424084,false
28,3,6,8,47,19.8,5.574294,3.731706,true
28,1,4,2,28,14.2,0.43736,3.53864,true
46,1,6,19,31,12.2,1.98555,1.79645,false
30,2,4,8,15,6.5,0.350025,0.624975,false
39,2,15,19,32,4.9,0.421792,1.146208,false
40,3,5,3,220,16,8.1664,27.0336,true
44,2,18,4,74,13.4,4.521696,5.394304,false
30,1,0,8,19,16.6,0.624492,2.529508,true
24,2,3,0,19,4.3,0.358663,0.458337,false
32,1,10,13,32,11.3,1.167968,2.448032,false
29,2,3,8,15,2.6,0.14664,0.24336,false
40,2,2,1,36,3.8,0.277704,1.090296,false
41,2,8,21,43,0.7,0.085785,0.215215,false
22,1,1,3,17,18.6,0.80631,2.35569,false
38,1,10,8,34,1.2,0.036312,0.371688,false
37,2,6,13,62,8.5,1.18575,4.08425,false
41,3,18,6,71,15.7,6.565583,4.581417,true
41,3,7,6,56,14.5,0.37352,7.74648,true
39,1,2,15,22,23.1,1.915914,3.166086,true
24,2,0,2,15,16.1,0.321195,2.093805,true
32,3,9,10,51,23,2.68617,9.04383,false
21,3,0,1,26,7.7,1.529528,0.472472,false
29,1,13,7,27,2.3,0.068931,0.552069,false
35,2,14,3,82,0.8,0.468384,0.187616,false
29,1,6,7,21,18.1,1.109892,2.691108,false
41,2,2,22,30,6.7,0.11256,1.89744,false
37,1,0,18,18,12.9,1.583604,0.738396,true
32,2,3,13,47,1.9,0.42864,0.46436,false
36,5,5,12,20,8.1,0.729,0.891,false
39,2,18,9,44,2.1,0.367752,0.556248,false
36,1,18,9,67,11.2,5.245296,2.258704,false
46,3,22,4,99,2.3,0.826551,1.450449,false
34,1,13,11,51,9.6,1.875168,3.020832,false
27,1,7,4,26,9.1,0.641186,1.724814,false
43,1,8,11,45,3.3,0.67716,0.80784,false
33,1,14,8,72,41.3,15.01668,14.71932,true
39,2,20,17,101,1.4,0.340774,1.073226,false
29,1,1,4,17,2.5,0.13175,0.29325,false
34,4,7,15,40,6.4,0.94976,1.61024,false
26,1,1,0,21,4.9,0.608139,0.420861,false
31,1,15,2,60,4.8,0.80352,2.07648,false
26,1,10,6,24,2.7,0.31104,0.33696,false
28,1,12,7,45,7.7,1.853775,1.611225,false
48,1,13,20,50,30.8,6.1138,9.2862,true
39,2,2,12,46,16,4.00384,3.35616,true
37,1,3,3,25,3.7,0.27565,0.64935,false
52,5,9,0,70,9.4,1.32916,5.25084,true
48,1,3,11,27,21.3,1.403244,4.347756,false
26,1,7,3,22,5.1,0.208692,0.913308,false
46,5,15,0,126,3.1,0.476532,3.429468,false
31,1,7,10,23,4.9,0.2254,0.9016,false
34,1,13,8,56,6.1,0.864248,2.551752,false
40,1,22,4,95,3.6,0.6327,2.7873,false
24,3,2,5,16,6.4,0.270336,0.753664,true
33,1,2,14,44,3.1,0.52514,0.83886,false
53,4,5,29,78,17.3,6.935916,6.558084,true
47,3,9,1,52,20.1,2.539836,7.912164,true
35,1,5,5,32,13,0.17472,3.98528,false
34,1,14,8,28,17,1.13764,3.62236,false
49,1,11,5,39,10.1,2.457936,1.481064,false
26,2,0,7,28,9.3,1.270752,1.333248,false
23,1,2,2,16,9.6,0.804864,0.731136,true
23,2,0,4,21,8.7,0.454923,1.372077,false
38,2,4,13,56,1.6,0.441728,0.454272,false
28,2,5,2,37,8.3,1.123986,1.947014,false
30,3,0,8,65,29.7,3.89961,15.40539,true
34,1,18,10,34,15.4,2.099636,3.136364,false
50,2,16,14,71,11.1,1.662891,6.218109,false
29,1,12,2,40,6.7,1.63212,1.04788,false
42,3,0,9,64,6.6,0.278784,3.945216,false
31,1,13,12,27,5,0.2376,1.1124,false
39,1,10,4,31,4.8,0.184512,1.303488,false
45,2,21,26,132,3,2.55816,1.40184,false
45,1,22,24,91,11.7,1.256346,9.390654,false
36,1,14,17,53,5.7,1.888125,1.132875,false
25,4,0,6,24,12.1,1.5972,1.3068,true
29,2,1,7,29,21.2,2.330092,3.817908,true
30,2,8,4,56,6.4,0.333312,3.250688,false
31,1,1,1,24,4.5,0.21708,0.86292,false
43,1,4,2,29,4.6,0.05336,1.28064,false
32,2,11,4,57,23.8,5.439966,8.126034,true
47,1,19,7,50,30.1,3.17555,11.87445,false
46,1,1,15,21,14.8,1.376844,1.731156,true
43,2,16,10,83,4.1,0.258628,3.144372,false
48,1,3,7,24,7,0.7644,0.9156,false
30,3,8,7,61,2.8,0.549976,1.158024,false
23,4,0,4,32,18.4,0.818432,5.069568,true
36,4,8,0,32,1.6,0.024576,0.487424,false
20,3,0,1,17,2.3,0.043792,0.347208,false
43,1,16,7,89,0.4,0.159488,0.196512,false
23,1,2,1,25,4.5,0.12375,1.00125,true
41,1,21,2,76,20.5,6.94868,8.63132,false
34,1,12,5,68,25.1,7.817144,9.250856,true
50,1,11,5,36,4.8,0.834624,0.893376,false
40,1,9,4,64,6.6,0.789888,3.434112,false
29,2,0,8,22,12.9,1.038708,1.799292,true
39,2,9,16,56,18.7,4.76476,5.70724,false
24,2,1,2,42,5.7,0.8379,1.5561,false
27,1,0,5,16,1.1,0.130416,0.045584,false
40,3,18,14,157,6.6,3.326202,7.035798,false
32,2,8,2,45,3.7,0.98235,0.68265,false
39,2,16,12,53,3.7,0.694194,1.266806,false
40,1,22,1,100,14.6,5.402,9.198,false
32,1,10,11,42,9.1,1.540266,2.281734,false
39,1,23,1,75,18.9,3.132675,11.042325,false
24,1,3,3,21,28.9,2.682498,3.386502,true
43,4,18,14,446,6.5,16.03147,12.95853,true
56,1,11,20,59,15,4.6728,4.1772,false
32,3,5,9,23,4.5,0.326025,0.708975,false
42,1,7,12,25,10.2,1.62945,0.92055,false
46,3,3,13,43,13.2,3.042336,2.633664,true
31,1,2,2,22,16.4,1.739056,1.868944,true
43,1,25,16,242,2.6,1.63592,4.65608,false
28,2,6,9,22,11.5,0.65021,1.87979,false
39,3,11,17,39,12.9,2.560779,2.470221,false
39,1,0,8,39,7.9,1.066026,2.014974,false
37,4,1,14,33,16.1,2.693691,2.619309,true
30,1,0,11,17,12,0.30396,1.73604,false
37,5,9,16,177,5.9,0.887655,9.555345,false
22,1,4,3,14,17.5,0.2254,2.2246,false
50,1,1,26,26,14.3,1.851564,1.866436,false
30,1,10,2,19,4.4,0.336072,0.499928,false
39,1,8,0,21,4,0.27636,0.56364,false
21,2,0,2,21,12.5,0.48825,2.13675,true
31,3,9,2,28,2.6,0.121576,0.606424,false
31,2,9,1,30,5.8,0.60204,1.13796,false
48,1,0,23,30,22.3,2.66262,4.02738,false
28,1,4,1,16,23.8,1.08528,2.72272,false
47,3,16,26,221,17.6,15.791776,23.104224,true
27,2,6,1,34,4.4,0.237864,1.258136,false
29,2,6,10,65,18.4,1.98536,9.97464,false
21,2,2,0,20,4.5,0.2907,0.6093,true
29,1,7,5,20,19.8,1.00584,2.95416,true
24,4,0,3,29,6.6,0.589512,1.324488,true
44,1,12,3,31,9.7,0.357833,2.649167,false
22,1,1,0,18,4.4,0.270072,0.521928,false
38,2,13,0,59,2.4,0.407808,1.008192,false
52,2,12,16,76,7.7,0.99484,4.85716,false
25,1,3,2,18,16.3,0.35208,2.58192,true
25,1,5,5,22,10.9,0.402864,1.995136,false
51,2,27,21,166,11.5,0.82087,18.26913,false
38,1,21,16,58,16.5,4.58403,4.98597,false
44,1,9,20,33,5.2,0.545688,1.170312,false
24,2,2,3,26,9.7,0.887744,1.634256,true
34,1,5,3,33,7.3,0.778107,1.630893,false
25,2,6,2,26,4.5,0.0702,1.0998,false
45,3,5,17,94,10.5,3.61242,6.25758,true
34,2,4,10,25,5.8,0.56985,0.88015,false
27,4,2,8,23,5.7,0.319884,0.991116,true
33,2,10,13,57,20.9,6.111369,5.801631,true
35,2,0,16,22,15,1.9701,1.3299,true
50,2,15,31,60,1.1,0.46794,0.19206,false
33,1,13,13,42,3.6,0.228312,1.283688,false
41,3,13,13,91,25.2,2.316132,20.615868,true
28,1,0,2,28,33.3,2.28438,7.03962,true
38,3,12,14,63,16,5.71536,4.36464,true
25,1,3,2,16,17.8,1.01104,1.83696,true
47,2,4,9,33,7.1,1.19493,1.14807,true
30,2,12,9,98,7.2,2.935296,4.120704,false
44,2,12,5,86,13,1.47576,9.70424,false
25,1,0,2,18,18.9,0.513702,2.888298,true
41,2,6,0,36,19.5,4.51386,2.50614,true
22,3,0,1,18,7.7,0.47817,0.90783,false
35,2,3,11,40,17.2,1.80256,5.07744,true
42,5,6,23,190,7.8,3.15666,11.66334,false
38,1,3,19,23,14.7,0.831726,2.549274,false
23,2,1,3,18,18.7,0.885258,2.480742,true
28,3,2,5,30,19.9,1.52235,4.44765,false
52,1,19,25,89,4.7,0.397385,3.785615,false
25,1,9,2,20,3.5,0.105,0.595,false
28,2,1,4,16,14.7,0.573888,1.778112,false
43,1,19,11,79,7.5,0.7821,5.1429,false
24,2,3,1,24,19.1,2.172816,2.411184,false
34,3,13,7,52,9.2,1.497392,3.286608,false
29,2,6,9,25,4.2,0.58485,0.46515,false
31,1,6,9,21,8.3,0.728574,1.014426,false
42,2,14,1,48,8.6,1.201248,2.926752,true
49,2,11,1,51,15,0.54315,7.10685,false
39,1,22,9,73,14.3,3.726723,6.712277,false
45,3,0,19,22,4.2,0.030492,0.893508,false
41,1,7,22,32,2.9,0.072384,0.855616,false
29,2,9,0,46,1.6,0.241408,0.494592,false
35,3,7,5,38,15.1,1.382858,4.355142,false
27,2,5,6,25,6.8,0.7055,0.9945,false
28,1,4,7,19,4.1,0.286672,0.492328,false
48,1,17,22,66,3.2,1.46784,0.64416,false
24,1,2,5,18,6,0.52812,0.55188,false
31,1,6,12,33,4.2,0.14553,1.24047,false
43,1,10,9,69,6.4,0.410688,4.005312,false
42,1,3,10,24,10.6,0.666528,1.877472,false
51,2,31,14,249,7.8,4.27284,15.14916,false
22,1,4,3,19,23.1,1.88727,2.50173,true
37,1,6,10,31,11.7,1.701063,1.925937,true
22,3,1,3,25,13.8,1.97685,1.47315,true
49,2,2,13,20,16.9,0.37856,3.00144,true
29,1,9,8,30,8.2,0.15498,2.30502,false
42,1,2,16,30,9.7,1.47246,1.43754,false
34,1,15,0,67,13.2,3.741012,5.102988,false
34,2,9,7,27,1.7,0.295137,0.163863,false
32,2,5,5,43,15,1.806,4.644,true
42,2,18,23,66,9.6,1.641024,4.694976,false
24,1,3,0,14,16.1,0.838488,1.415512,true
34,1,16,9,48,7.6,1.473792,2.174208,false
26,1,10,2,32,4.7,0.126336,1.377664,false
30,2,12,9,68,20.1,2.856612,10.811388,false
32,1,4,3,16,28.5,0.89376,3.66624,true
38,3,13,18,25,5.7,0.343425,1.081575,false
43,2,10,24,37,8.5,0.676175,2.468825,false
31,2,9,8,53,13.5,1.194885,5.960115,false
37,4,10,18,123,17.3,3.021618,18.257382,false
